country,state,county,name,lat,lng
AF,ولایت بلخ,ولسوالی شورتپه,Islām Chumgar,37.3011,66.46181
AF,Herat Province,Injil,Injīl,34.30157,62.2465
AF,Kunduz Province,Imam Sahib,Imām Şāḩib,37.18897,68.93644
AF,Baghlan Province,Dushi,Dōshī,35.60918,68.68473
AF,Ghor,Dawlat Yar,Dowlatyār,34.55132,65.79302
AF,Laghman Province,Dawlat Shah,Dowlat Shāh,34.9504,70.07102
AF,Balkh Province,Dawlatabad,Dowlatābād,36.98821,66.82069
AF,Faryab,Dawlat Abad,Dowlatābād,36.43259,64.92071
AF,Farah Province,Shib Koh,Dū Qal‘ah,32.14237,61.4469
AF,Samangan,Ruyi Du Ab,Dūāb,35.56277,67.82191
AF,Kandahar Province,Nesh,Dê Nārkhēl Kêlay,32.43205,65.63484
AF,Samangan,Darah Sof,Dehī,35.95806,67.27998
AF,Baghlan Province,Dih Salah,Deh-e Şalāḩ,35.69031,69.31511
AF,Kabul Province,Guldara,Deh-e Now,34.74767,69.04784
AF,Balkh Province,Dihdadi,Dehdādī,36.66319,66.99339
AF,Khost Province,Shamal,Dwah Manḏay,33.28159,69.58531
AF,Takhar Province,Dashti Qala,Dasht-e Qal‘ah,37.1539,69.4435
AF,Farah Province,Pur Chaman,Dasht-e Qal‘ah,33.02978,63.8395
AF,Kunduz Province,Imam Sahib,Dasht-e Archī,37.13333,69.16667
AF,Jowzjan Province,Darzab,Darzāb,35.97744,65.37828
AF,Helmand,Garmsir,Markaz-e Ḩukūmat-e Darwēshān,31.13231,64.1934
AF,Takhar Province,Darqad,Darqad,37.38414,69.45294
AF,Badakhshan Province,Darayim,Darāyim,36.86667,70.38333
AF,Kunar Province,Dangam,Dāngām,34.99249,71.41935
AF,Parwan Province,Kohi Safi,Ḏanḏar,34.79095,69.47504
AF,Baghlan Province,Dahana i Ghuri,Ḩukūmatī Dahanah-ye Ghōrī,35.90617,68.48869
AF,Kunar Province,Chawkay,Tsowkêy,34.69246,70.92688
AF,Sar-e Pol Province,Kohistanat,Chīras,35.41674,65.98234
AF,ولایت قندوز,ارچي ولسوالۍ,Chīchkah,37.07045,69.29842
AF,Herat Province,Chishti Sharif,Chisht-e Sharīf,34.34731,63.73966
AF,Kandahar Province,Ghorak,Chinār,32.01583,65.10721
AF,Balkh Province,Chimtal,Chimtāl,36.67818,66.80325
AF,Logar Province,Charkh,Charkh,33.79712,68.93749
AF,Parwan Province,Chaharikar,Charikar,35.01361,69.17139
AF,Kunduz Province,Char Dara,Dowr-e Rabāţ,36.69132,68.79093
AF,Paktia Province,Dand wa Patan,Tsapêraī,33.83003,69.9192
AF,Paktia Province,Tsamkani,Tsamkanī,33.80298,69.81671
AF,Kabul Province,Khaki Jabbar,Chakaray,34.34099,69.4377
AF,Badakhshan Province,Wurduj,Chākarān,36.91112,71.0688
AF,Ghazni Province,Khogyani,Chahār Qal‘ah,33.55267,68.29828
AF,Herat Province,Guzara,Chahār Burj,34.24475,62.19165
AF,Takhar Province,Chah Ab,Chāh Āb,37.39773,69.81464
AF,Ghor,Firozkoh,Fayrōz Kōh,34.51952,65.25093
AF,Bamyan,Shibar,Bulōlah,34.87706,68.0879
AF,Faryab,Bilchiragh,Bal Chirāgh,35.84026,65.2309
AF,Baghlan Province,Dushi,Bāzār-e Tālah,35.39205,68.22317
AF,Nangarhar Province,Momand Dara,Muhmand Dara,34.24749,70.87218
AF,Baghlan Province,Burka,Būrkah,36.22242,69.15037
AF,Nuristan Province,,Barg-e Matāl,35.67283,71.34339
AF,لوگر ولايت,برکي برک ولسوالۍ,Barakī,33.93949,68.92201
AF,Logar Province,Baraki Barak,Baraki Barak,33.96744,68.9492
AF,Baghlan Province,Andarab,Banū,35.63348,69.26019
AF,Bamyan,Bamyan,Bāmyān,34.82156,67.82734
AF,Balkh Province,Balkh,Balkh,36.75635,66.8972
AF,Badakhshan Province,,Bahārak,37.00254,70.90664
AF,Kabul Province,Bagrami,Bagrāmī,34.49376,69.27427
AF,ولایت پروان,ولسوالی بگرام,Bagrām,34.96694,69.265
AF,Baghlan Province,Baghlani Jadid District,Baghlān,36.13068,68.70829
AF,Logar Province,Azra,Ḩukūmatī Azrah,34.17355,69.64573
AF,Takhar Province,Dashti Qala,Ārt Khwājah,37.08571,69.47958
AF,Zabul Province,Atghar,‘Alāqahdārī Aṯghar,31.73506,67.3574
AF,Kunar Province,Bar Kunar,Āsmār,35.03333,71.35809
AF,Badakhshan Province,Ishkashim,Ashkāsham,36.68333,71.53333
AF,Kunar Province,Asadabad,Asadābād,34.87311,71.14697
AF,Jowzjan Province,Aqcha,Aqcha,36.905,66.18341
AF,Faryab,Andkhoy,Andkhoy,36.95293,65.12376
AF,Panjshir Province,,’Unābah,35.23251,69.37719
AF,Farah Province,Anar Dara,Anār Darah,32.7587,61.65397
AF,Kandahar Province,Shurabak,Amānzī,30.21144,66.04765
AF,Faryab,Almar,‘Alāqahdārī-ye Almār,35.84616,64.53074
AF,Khost Province,Tirazayi,‘Alī Shēr ‘Alāqahdārī,33.4362,70.06711
AF,Laghman Province,Alingar,Wuluswālī ‘Alīngār,34.83529,70.3593
AF,Paktia Province,Zazi,‘Alī Khēl,33.94253,69.71908
AF,Paktika Province,Yusufkhel,‘Alāqahdārī Yōsuf Khēl,33.05195,68.65
AF,Helmand,Dishu,‘Alāqahdārī Dīshū,30.43206,63.29802
AF,Kapisa Province,Alah Say,Alah Sāy,34.8965,69.72049
AF,Nangarhar Province,Pachir Aw Agam,Pachīr wa Āgām,34.20011,70.27806
AF,Takhar Province,Bangi,Āfāqī,36.66172,69.35095
AF,Herat Province,Adraskan,Adraskan,33.64573,62.26959
AF,Badghis,Muqur,Āb-e Kamarī,35.08796,63.0678
AF,Daykundi,,Khadīr,33.92232,65.93398
AF,Parwan Province,Sayed Khel,Ghulām ‘Alī,34.95076,69.2287
AF,Kabul Province,Qarabagh,Qarah Bāgh Bāzār,34.8529,69.17062
AF,Kabul Province,Farza,Zargarān,34.78764,69.05878
